episode,episode_reward_total,episode_reward_avg,cumulative_reward,running_reward_avg,epsilon,episode_dropouts,cumulative_dropouts,q_table_states,training_episodes,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
1390,0.506376,0.506376,475.234696,0.341895,0.05,0,102,2062,1391,0,0,1,0,0,0
1400,0.438963,0.438963,478.079685,0.341485,0.05,0,103,2078,1401,0,0,0,1,0,0
1410,0.496202,0.496202,482.683133,0.342328,0.05,0,103,2091,1411,0,0,1,0,0,0
1420,0.510123,0.510123,487.191651,0.343093,0.05,0,103,2106,1421,0,0,1,0,0,0
1430,0.528284,0.528284,491.761855,0.343889,0.05,0,103,2120,1431,0,0,0,0,0,1
1440,0.492498,0.492498,494.704018,0.343544,0.05,0,104,2135,1441,0,0,1,0,0,0
1450,0.279936,0.279936,497.536859,0.343129,0.05,0,105,2149,1451,0,0,0,0,1,0
1460,0.294723,0.294723,499.233497,0.341941,0.05,0,107,2165,1461,0,1,0,0,0,0
1470,0.360566,0.360566,503.90437,0.342792,0.05,0,107,2177,1471,1,0,0,0,0,0
1480,0.526098,0.526098,508.577277,0.343633,0.05,0,107,2192,1481,0,0,0,1,0,0
1490,0.296364,0.296364,511.776456,0.343474,0.05,0,108,2206,1491,0,0,0,0,1,0
1500,0.432431,0.432431,515.441729,0.343628,0.05,0,109,2223,1501,0,1,0,0,0,0
1510,0.605331,0.605331,518.583403,0.343433,0.05,0,110,2238,1511,0,0,1,0,0,0
1520,0.571445,0.571445,523.189567,0.344204,0.05,0,110,2253,1521,0,0,1,0,0,0
1530,0.373865,0.373865,527.465019,0.344748,0.05,0,110,2267,1531,0,0,0,0,1,0
1540,0.357184,0.357184,531.950366,0.345422,0.05,0,110,2283,1541,0,1,0,0,0,0
1550,0.580856,0.580856,535.514097,0.345493,0.05,0,111,2295,1551,0,0,0,0,1,0
1560,0.510143,0.510143,537.553664,0.344586,0.05,0,113,2309,1561,0,1,0,0,0,0
1570,0.399091,0.399091,540.198935,0.344076,0.05,0,114,2325,1571,0,0,0,1,0,0
1580,0.37949,0.37949,541.922067,0.342989,0.05,0,116,2342,1581,0,1,0,0,0,0
1590,0.357811,0.357811,546.392382,0.343643,0.05,0,116,2356,1591,0,0,0,1,0,0
1600,0.299473,0.299473,549.134829,0.343209,0.05,0,117,2372,1601,0,0,1,0,0,0
1610,0.488791,0.488791,553.372762,0.34371,0.05,0,117,2386,1611,0,0,0,0,1,0
1620,0.33528,0.33528,555.649146,0.342993,0.05,0,118,2401,1621,0,0,1,0,0,0
1630,0.276455,0.276455,559.919691,0.343509,0.05,0,118,2417,1631,0,0,0,0,0,1
1640,-0.848161,-0.848161,559.649257,0.34125,0.05,1,121,2431,1641,0,0,1,0,0,0
1650,-0.870715,-0.870715,562.374513,0.340833,0.05,1,122,2445,1651,0,0,0,0,0,1
1660,0.523028,0.523028,566.800038,0.341446,0.05,0,122,2461,1661,1,0,0,0,0,0
1670,-0.861169,-0.861169,567.907077,0.340064,0.05,1,124,2476,1671,0,0,0,0,0,1
1680,0.259614,0.259614,569.192171,0.338805,0.05,0,126,2492,1681,0,0,0,1,0,0
1690,0.51748,0.51748,572.298502,0.338638,0.05,0,127,2509,1691,0,0,0,0,0,1
1700,0.534856,0.534856,575.578563,0.338576,0.05,0,128,2524,1701,0,1,0,0,0,0
1710,0.33305,0.33305,579.694511,0.339003,0.05,0,128,2540,1711,0,0,0,0,1,0
1720,0.43133,0.43133,584.622712,0.339897,0.05,0,128,2556,1721,1,0,0,0,0,0
1730,-0.910482,-0.910482,587.341909,0.339504,0.05,1,129,2570,1731,0,1,0,0,0,0
1740,0.584346,0.584346,592.160462,0.340322,0.05,0,129,2584,1741,0,0,0,0,1,0
1750,-0.876105,-0.876105,595.924234,0.340528,0.05,1,130,2600,1751,0,0,0,1,0,0
1760,0.434483,0.434483,598.803539,0.340229,0.05,0,131,2616,1761,0,0,0,0,1,0
1770,0.226228,0.226228,602.606302,0.340456,0.05,0,131,2629,1771,0,0,0,1,0,0
1780,0.43734,0.43734,605.725883,0.340295,0.05,0,132,2645,1781,0,0,0,0,0,1
1790,0.500508,0.500508,608.646231,0.340026,0.05,0,133,2661,1791,0,0,0,0,0,1
1800,0.617361,0.617361,612.291603,0.340162,0.05,0,134,2677,1801,0,0,1,0,0,0
1810,0.401526,0.401526,616.656976,0.340694,0.05,0,134,2688,1811,0,1,0,0,0,0
1820,0.447974,0.447974,621.585772,0.341531,0.05,0,134,2704,1821,0,0,1,0,0,0
1830,0.343818,0.343818,625.690922,0.341908,0.05,0,134,2718,1831,1,0,0,0,0,0
1840,0.512918,0.512918,628.864143,0.341774,0.05,0,135,2731,1841,0,0,0,0,0,1
1850,0.404691,0.404691,631.980621,0.341611,0.05,0,136,2745,1851,0,0,1,0,0,0
1860,0.442023,0.442023,636.801132,0.342366,0.05,0,136,2761,1861,0,0,0,0,1,0
1870,0.516963,0.516963,639.564838,0.342013,0.05,0,137,2775,1871,0,0,0,1,0,0
1880,0.34121,0.34121,640.999461,0.340957,0.05,0,139,2792,1881,0,1,0,0,0,0
1890,0.23966,0.23966,645.22243,0.341388,0.05,0,139,2806,1891,0,0,0,1,0,0
1900,0.573982,0.573982,649.352857,0.341765,0.05,0,139,2819,1901,0,0,0,1,0,0
1910,0.494176,0.494176,653.941293,0.342378,0.05,0,139,2835,1911,0,0,0,0,0,1
1920,0.382406,0.382406,658.131364,0.342777,0.05,0,139,2848,1921,0,0,0,0,1,0
1930,0.466322,0.466322,662.181016,0.343099,0.05,0,139,2861,1931,0,1,0,0,0,0
1940,0.509582,0.509582,664.394022,0.342471,0.05,0,140,2878,1941,0,1,0,0,0,0
1950,0.269605,0.269605,669.158159,0.343158,0.05,0,140,2892,1951,0,0,1,0,0,0
1960,0.53056,0.53056,671.101842,0.342399,0.05,0,142,2906,1961,0,0,0,0,0,1
1970,0.409124,0.409124,675.471752,0.342879,0.05,0,142,2920,1971,0,1,0,0,0,0
1980,0.675819,0.675819,680.389661,0.343631,0.05,0,142,2932,1981,0,0,1,0,0,0
1990,0.447973,0.447973,683.38482,0.343409,0.05,0,143,2945,1991,0,0,0,0,0,1
2000,0.496002,0.496002,686.390812,0.343195,0.05,0,144,2962,2001,1,0,0,0,0,0
2010,0.329448,0.329448,690.694093,0.343629,0.05,0,144,2978,2011,0,0,0,0,1,0
2020,0.403535,0.403535,694.912981,0.344016,0.05,0,144,2991,2021,0,0,1,0,0,0
2030,0.657767,0.657767,698.084786,0.343884,0.05,0,145,3006,2031,0,0,1,0,0,0
2040,0.394055,0.394055,702.285461,0.344258,0.05,0,145,3021,2041,0,0,0,0,1,0
2050,0.512471,0.512471,705.326626,0.344062,0.05,0,146,3036,2051,0,0,1,0,0,0
2060,0.460287,0.460287,709.729971,0.344529,0.05,0,146,3053,2061,0,0,1,0,0,0
2070,0.47338,0.47338,714.43053,0.345136,0.05,0,146,3064,2071,0,0,0,1,0,0
2080,0.463417,0.463417,717.849015,0.34512,0.05,0,147,3079,2081,0,0,0,0,1,0
2090,0.531744,0.531744,722.436254,0.345663,0.05,0,147,3093,2091,0,1,0,0,0,0
2100,0.59078,0.59078,725.760842,0.3456,0.05,0,148,3106,2101,0,0,1,0,0,0
2110,0.490037,0.490037,728.79418,0.3454,0.05,0,149,3124,2111,1,0,0,0,0,0
2120,0.355603,0.355603,732.049061,0.345306,0.05,0,150,3141,2121,0,0,0,1,0,0
2130,0.516282,0.516282,736.188747,0.345629,0.05,0,150,3155,2131,0,0,0,0,0,1
2140,0.394795,0.394795,741.143039,0.346329,0.05,0,150,3170,2141,0,0,0,0,1,0
2150,0.337005,0.337005,741.619184,0.344939,0.05,0,153,3186,2151,0,0,0,0,0,1
2160,0.493203,0.493203,746.32776,0.345522,0.05,0,153,3201,2161,0,0,0,0,1,0
2170,0.484928,0.484928,749.12832,0.34522,0.05,0,154,3216,2171,0,0,0,0,0,1
2180,0.434619,0.434619,753.799665,0.34578,0.05,0,154,3228,2181,0,0,0,0,0,1
2190,0.260167,0.260167,756.763373,0.345554,0.05,0,155,3242,2191,0,1,0,0,0,0
2200,0.378466,0.378466,759.626021,0.345285,0.05,0,156,3257,2201,0,0,0,0,1,0
2210,0.533532,0.533532,764.234695,0.345808,0.05,0,156,3273,2211,0,0,1,0,0,0
2220,0.353424,0.353424,768.430319,0.34614,0.05,0,156,3286,2221,0,0,0,1,0,0
2230,0.305588,0.305588,772.362315,0.346351,0.05,0,156,3301,2231,1,0,0,0,0,0
2240,0.365068,0.365068,776.744166,0.346761,0.05,0,156,3316,2241,0,0,0,0,1,0
2250,0.581317,0.581317,781.50931,0.347337,0.05,0,156,3327,2251,0,0,0,1,0,0
2260,0.497423,0.497423,784.922334,0.347311,0.05,0,157,3343,2261,0,0,1,0,0,0
2270,0.511214,0.511214,789.279236,0.3477,0.05,0,157,3359,2271,0,0,1,0,0,0
2280,0.5732,0.5732,791.027975,0.346942,0.05,0,159,3375,2281,0,1,0,0,0,0
2290,0.533211,0.533211,794.131505,0.346782,0.05,0,160,3390,2291,0,0,0,1,0,0
2300,0.281603,0.281603,798.370107,0.347117,0.05,0,160,3404,2301,1,0,0,0,0,0
2310,0.595027,0.595027,802.989663,0.347615,0.05,0,160,3419,2311,0,0,0,1,0,0
2320,-0.85641,-0.85641,804.762323,0.34688,0.05,1,162,3437,2321,0,0,0,0,0,1
2330,0.362204,0.362204,809.150025,0.347275,0.05,0,162,3453,2331,0,0,0,0,1,0
2340,0.301602,0.301602,812.297681,0.347136,0.05,0,163,3469,2341,1,0,0,0,0,0
2350,0.559365,0.559365,815.068286,0.346838,0.05,0,164,3484,2351,1,0,0,0,0,0
2360,0.495003,0.495003,819.68151,0.347323,0.05,0,164,3499,2361,0,0,0,0,1,0
2370,0.489806,0.489806,821.724241,0.346719,0.05,0,166,3515,2371,0,1,0,0,0,0
2380,0.423069,0.423069,826.070601,0.347088,0.05,0,166,3528,2381,0,1,0,0,0,0
2390,0.297775,0.297775,829.97162,0.347268,0.05,0,166,3542,2391,0,1,0,0,0,0
2400,0.385338,0.385338,834.16669,0.347569,0.05,0,166,3558,2401,1,0,0,0,0,0
2410,0.369503,0.369503,838.35856,0.347867,0.05,0,166,3573,2411,0,0,0,1,0,0
2420,0.486447,0.486447,841.614039,0.347774,0.05,0,167,3588,2421,1,0,0,0,0,0
2430,0.347432,0.347432,842.90983,0.346876,0.05,0,169,3603,2431,0,1,0,0,0,0
2440,0.364897,0.364897,845.677777,0.346589,0.05,0,170,3617,2441,1,0,0,0,0,0
2450,0.427384,0.427384,850.252054,0.347042,0.05,0,170,3633,2451,1,0,0,0,0,0
2460,0.356032,0.356032,854.997224,0.34756,0.05,0,170,3647,2461,0,0,0,0,1,0
2470,0.39125,0.39125,857.759458,0.347271,0.05,0,171,3663,2471,0,0,0,0,0,1
2480,0.221632,0.221632,860.367255,0.346922,0.05,0,172,3679,2481,1,0,0,0,0,0
2490,0.428059,0.428059,864.85484,0.347331,0.05,0,172,3695,2491,0,0,1,0,0,0
2500,0.347241,0.347241,868.75085,0.3475,0.05,0,172,3710,2501,0,0,1,0,0,0
2510,0.333524,0.333524,872.90475,0.347771,0.05,0,172,3727,2511,1,0,0,0,0,0
2520,0.550389,0.550389,875.818255,0.347547,0.05,0,173,3743,2521,0,0,1,0,0,0
2530,0.396125,0.396125,879.921132,0.347795,0.05,0,173,3757,2531,0,0,0,0,1,0
2540,0.302644,0.302644,881.679528,0.347118,0.05,0,175,3773,2541,0,0,1,0,0,0
2550,0.556136,0.556136,884.850119,0.347,0.05,0,176,3790,2551,0,0,0,0,0,1
2560,0.374764,0.374764,889.384591,0.347416,0.05,0,176,3804,2561,0,0,0,0,0,1
2570,0.572006,0.572006,893.709776,0.347747,0.05,0,176,3817,2571,0,0,0,1,0,0
2580,0.311716,0.311716,898.445259,0.348235,0.05,0,176,3832,2581,0,0,1,0,0,0
2590,0.47174,0.47174,901.537003,0.348084,0.05,0,177,3846,2591,0,0,0,0,1,0
2600,0.532434,0.532434,904.136883,0.347745,0.05,0,178,3861,2601,1,0,0,0,0,0
2610,0.32838,0.32838,908.045634,0.34791,0.05,0,178,3876,2611,0,0,0,1,0,0
2620,0.426981,0.426981,912.273931,0.348196,0.05,0,178,3890,2621,1,0,0,0,0,0
2630,0.470411,0.470411,916.545331,0.348496,0.05,0,178,3903,2631,0,1,0,0,0,0
2640,0.509958,0.509958,921.265079,0.348964,0.05,0,178,3918,2641,0,0,0,0,0,1
2650,0.403245,0.403245,926.251643,0.349529,0.05,0,178,3933,2651,0,0,0,1,0,0
2660,0.54748,0.54748,929.773544,0.349539,0.05,0,179,3951,2661,0,0,1,0,0,0
2670,0.354889,0.354889,934.127338,0.34986,0.05,0,179,3964,2671,1,0,0,0,0,0
2680,0.571112,0.571112,939.240573,0.350463,0.05,0,179,3976,2681,0,0,1,0,0,0
2690,0.443347,0.443347,941.928061,0.350159,0.05,0,180,3992,2691,0,0,1,0,0,0
2700,0.575366,0.575366,945.657093,0.350243,0.05,0,181,4009,2701,0,1,0,0,0,0
2710,0.542149,0.542149,949.537186,0.350383,0.05,0,181,4024,2711,0,1,0,0,0,0
2720,0.373292,0.373292,952.271502,0.3501,0.05,0,182,4040,2721,0,0,1,0,0,0
2730,0.5442,0.5442,957.166456,0.35061,0.05,0,182,4053,2731,0,0,0,0,0,1
2740,0.412911,0.412911,962.253347,0.351187,0.05,0,182,4066,2741,1,0,0,0,0,0
2750,0.540588,0.540588,966.170142,0.351335,0.05,0,183,4080,2751,1,0,0,0,0,0
2760,0.477366,0.477366,970.375084,0.351585,0.05,0,183,4096,2761,0,0,0,1,0,0
2770,0.374237,0.374237,973.070292,0.351289,0.05,0,184,4111,2771,1,0,0,0,0,0
2780,0.289161,0.289161,977.380268,0.351576,0.05,0,184,4125,2781,0,0,0,0,1,0
2790,0.45471,0.45471,981.082901,0.351643,0.05,0,184,4139,2791,0,0,0,0,1,0
2800,-0.876507,-0.876507,983.908995,0.351396,0.05,1,185,4154,2801,0,0,0,0,0,1
2810,0.521013,0.521013,986.943175,0.351225,0.05,0,186,4170,2811,0,0,1,0,0,0
2820,0.410748,0.410748,991.414724,0.351566,0.05,0,186,4184,2821,0,0,0,0,0,1
